"","Seed_1","Seed_2","Seed_3","Seed_4","Seed_5","Seed_6","Seed_7","Seed_8","Seed_9","Seed_10"
"Cox",0.52856159669649,0.592806679511882,0.621347644603458,0.577522004062288,0.620936280884265,0.573648648648649,0.614915254237288,0.671651495448635,0.498233215547703,0.645585472761428
"RandomForest+Cox",0.506538196834136,0.62106615285806,0.634466308884914,0.572105619498984,0.613784135240572,0.566216216216216,0.629830508474576,0.598179453836151,0.500353356890459,0.628052598622417
"Boruta+Cox",0.498967653131452,0.5626204238921,0.604054859868813,0.585646580907244,0.639791937581274,0.562162162162162,0.593898305084746,0.64369310793238,0.492579505300353,0.583594239198497
