"","C_Index_Avg","C_Index_Std_Dev","P_value_Avg","P_value_Std_Dev","IBS_Avg","IBS_Std_Dev","Coeff_Num_Avg","Coeff_Num_Std_Dev","Non_Convergence_Perc"
"Cox",0.714,NA,0,NA,0.087,NA,19,NA,0
"RandomForest+Cox",0.719,NA,0,NA,0.083,NA,19,NA,0
"Boruta+Cox",0.675,NA,0,NA,0.088,NA,6,NA,0
