"","Seed_1","Seed_2","Seed_3","Seed_4","Seed_5","Seed_6","Seed_7","Seed_8","Seed_9","Seed_10"
"Cox",0.502408809359945,0.628131021194605,NA,0.551117129316181,0.493498049414824,NA,NA,0.580624187256177,0.482685512367491,0.599248591108328
"RandomForest+Cox",0.4762560220234,0.652536929993577,0.603458556946929,0.558564658090724,0.570871261378413,0.543918918918919,0.576271186440678,0.611183355006502,0.481978798586572,0.614276768941766
"Boruta+Cox",0.506538196834136,0.573538856775851,0.591532498509243,0.583615436696005,0.667750325097529,0.562837837837838,0.59593220338983,0.639791937581274,0.479151943462898,0.582968065122104
