"","C_Index_Avg","C_Index_Std_Dev","P_value_Avg","P_value_Std_Dev","IBS_Avg","IBS_Std_Dev","Coeff_Num_Avg","Coeff_Num_Std_Dev","Non_Convergence_Perc"
"Cox",0.565,0.054,0.3,0.256,0.128,0.015,17.9,12.6,20
"RandomForest+Cox",0.574,0.051,0.399,0.382,0.131,0.015,16.2,5.5,0
"Boruta+Cox",0.578,0.053,0.307,0.321,0.129,0.016,7.8,2.9,0
