"","C_Index_Avg","C_Index_Std_Dev","Coeff_Num_Avg","Coeff_Num_Std_Dev","Non_Convergence_Perc"
"GLMNET",0.54,0.072,8.8,10.5,40
"SIS",0.518,0.067,11.2,12.5,50
"ISIS",0.539,0.063,18.4,7.2,10
"RandomForest+GLMNET",0.53,0.049,24.3,12.2,0
"CausalForest+GLMNET",0.54,0.032,19.6,14.3,10
"Boruta+GLMNET",0.553,0.048,17.1,5.4,0
