"","Seed_1","Seed_2","Seed_3","Seed_4","Seed_5","Seed_6","Seed_7","Seed_8","Seed_9","Seed_10"
"Cox",0.854170269582283,0.240618134582484,NA,0.380027668982104,0.457543966720472,NA,NA,0.106706039463509,0.473882054321292,0.235404969708387
"RandomForest+Cox",0.589993371213316,0.103008655662675,0.205856212356999,0.522998551794551,0.326460659476144,0.740396537997104,0.495425070493751,0.015315833486531,0.210778807244116,0.0569845993877584
"Boruta+Cox",0.991798166426031,0.843165711456257,0.107715582617813,0.291211053173486,0.0155026463215726,0.395605371205356,0.0927494172995409,0.162625965083081,0.917534478963439,0.0112172592281468
