"","C_Index_Avg","C_Index_Std_Dev","P_value_Avg","P_value_Std_Dev","IBS_Avg","IBS_Std_Dev","Coeff_Num_Avg","Coeff_Num_Std_Dev","Non_Convergence_Perc"
"Cox",0.685,NA,0,NA,0.13,0.015,9,NA,0
"RandomForest+Cox",0.709,NA,0,NA,0.131,0.016,14,NA,0
"Boruta+Cox",0.676,NA,0,NA,0.129,0.017,6,NA,0
