"","Seed_1","Seed_2","Seed_3","Seed_4","Seed_5","Seed_6","Seed_7","Seed_8","Seed_9","Seed_10"
"Cox",0.790601323383935,0.547765342042812,0.0096286784182277,0.520910143248336,0.0345556986894518,0.324932266150708,0.00652675717195054,0.00514126311108582,0.679238567470107,0.00468722451174049
"RandomForest+Cox",0.778113232910707,0.317677893915686,0.00481065872715947,0.220302611470244,0.231846783616837,0.889543365209029,0.0745460748209479,0.129299858695036,0.960123578492366,0.0425277148653868
"Boruta+Cox",0.989616818151173,0.937628945377231,0.040105255108257,0.259045278232758,0.074775001706066,0.801517137390039,0.328298455048255,0.147004098391004,0.902259804097815,0.0120718422460866
