"Seed","Min","Max"
"1",-0.000705642690814781,0.00716845192957525
"2",-0.000914826498422714,0.00481801995373833
"3",-0.00115639019231192,0.0130297556760823
"4",-0.000884803417864866,0.0040649128685776
"5",-0.00125731390918671,0.00361967156803707
"6",-0.000955936035266698,0.00397790476753952
"7",-0.00124520033383841,0.00642468906383517
"8",-0.00109529576942748,0.00807561777710643
"9",-0.000835159483808132,0.00332742266205794
"10",-0.000903771241915536,0.00574631007420329
